frame,px,py,pz,qx,qy,qz,qw
0,0.0000000,0.0000000,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
90,0.0000000,0.9998609,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
100,0.0264278,2.0016139,-8.9995155,0.0224130,0.0868683,-0.0019549,0.9959657
110,0.3523275,3.2018766,-7.8472309,0.0484235,0.2052731,-0.0101693,0.9774532
120,0.8357851,4.2040415,-6.9703894,0.0621715,0.2632906,-0.0170058,0.9625610
130,1.2929504,4.7047396,-6.1942568,0.0854930,0.2527040,-0.0224229,0.9634982
140,1.2929504,4.7047396,-6.1942568,0.1051451,0.2188985,-0.0237334,0.9697756
150,1.2929504,4.1050510,-6.1942568,0.1051806,0.2174435,-0.0235757,0.9701028
160,1.5186086,3.5048177,-5.1968665,0.0967891,0.2015963,-0.0200235,0.9744690
170,1.8947542,3.5048177,-4.2707572,0.0941460,0.1870121,-0.0180086,0.9776701
180,2.2641382,3.5048177,-3.3405449,0.0941461,0.1870121,-0.0180086,0.9776700
190,2.0864098,3.5048177,-2.1847219,0.0935006,0.2191675,-0.0211050,0.9709675
200,1.8003367,3.5048177,-0.8025675,0.0935235,0.3602548,-0.0363282,0.9274428
210,1.7878438,3.5048177,-0.5213651,0.0935238,0.3602548,-0.0363283,0.9274428
220,1.7878438,3.5048177,-0.5213651,0.1189796,0.4015757,-0.0527055,0.9065335
230,1.7878438,3.5048177,-0.5213651,0.1696843,0.5829155,-0.1260740,0.7845522
240,1.4920191,3.5048177,-0.2153356,0.1829146,0.6983360,-0.1921438,0.6647931
250,0.6479942,3.5048177,0.9163817,0.1723779,0.7639430,-0.2275558,0.5787014
260,0.1156229,3.5048177,2.2234297,0.1268739,0.8322818,-0.2129614,0.4958402
270,-0.0147187,3.5048177,2.4102631,0.1123045,0.8468512,-0.1978398,0.4807184
280,-0.0147187,3.5048177,2.4102631,0.0987424,0.8669255,-0.1902254,0.4500048
290,-0.0147187,3.5048177,2.4102631,0.0709863,0.9020395,-0.1627483,0.3934448
300,-0.0147187,3.5048177,2.4102631,0.0601111,0.9122183,-0.1448766,0.3784907
310,-0.0147187,3.5048177,2.4102631,0.0579949,0.8898814,-0.1181536,0.4367923
320,-0.0147187,3.5048177,2.4102631,0.0570449,0.8595598,-0.0984188,0.4982134
330,-0.0147187,3.5048177,2.4102631,0.0481641,0.8352054,-0.0741115,0.5427887
340,-0.0147187,3.5048177,2.4102631,0.0279086,0.8357604,-0.0426631,0.5467226
350,-0.0147187,3.5048177,2.4102631,0.0064799,0.8416809,-0.0101030,0.5398419
360,-0.0147187,3.5048177,2.4102631,0.0056170,0.8449190,-0.0088744,0.5347914
370,-0.0147187,3.5048177,2.4102631,0.0039267,0.8520845,-0.0063932,0.5233505
380,0.6998868,3.5048177,2.0479822,0.0039267,0.8520845,-0.0063932,0.5233505
390,1.5933322,3.5048177,1.5950354,0.0039267,0.8520845,-0.0063932,0.5233505
400,2.4856660,3.5048177,1.1426522,0.0047232,0.8512880,-0.0076642,0.5246215
410,3.3855417,3.5048177,0.7092883,0.0192965,0.8436153,-0.0303857,0.5357401
420,4.2912989,3.5048177,0.2834287,0.0224574,0.8442203,-0.0354805,0.5343489
430,5.1878276,3.5048177,-0.1619281,0.0227607,0.8513024,-0.0370575,0.5228699
440,6.0808444,3.5048177,-0.6176864,0.0227051,0.8520858,-0.0370916,0.5215924
450,6.9739671,3.5048177,-1.0738430,0.0242698,0.8519707,-0.0396477,0.5215219
460,7.8655639,3.5048177,-1.5218235,0.0291751,0.8492249,-0.0471830,0.5251092
470,8.7595253,3.5048177,-1.9683102,0.0291751,0.8492249,-0.0471831,0.5251092
480,9.6597872,3.5048177,-2.4159198,0.0293872,0.8468533,-0.0470513,0.5289254
490,10.5698423,3.5048177,-2.8233185,0.0321828,0.8238286,-0.0470117,0.5639685
500,10.5698423,3.5048177,-2.8233185,0.0283075,0.7379553,-0.0310147,0.6735419
510,10.5698423,3.5048177,-2.8233185,0.0250279,0.6877877,-0.0237402,0.7250918
520,10.5698423,3.5048177,-2.8233185,0.0184753,0.5706735,-0.0128441,0.8208688
530,10.5698423,3.5048177,-2.8233185,0.0065701,0.4829200,-0.0036235,0.8756323
540,10.5698423,3.5048177,-2.8233185,0.0079160,0.4763333,-0.0042886,0.8792187
550,10.5698423,3.5048177,-2.8233185,0.0070946,0.3254541,-0.0024420,0.9455281
560,10.5698423,3.5048177,-2.8233185,0.0057188,0.3041022,-0.0018256,0.9526205
570,10.5698423,3.5048177,-2.8233185,0.0057243,0.3012430,-0.0018084,0.9535285
580,10.5698423,3.5048177,-2.8233185,0.0186820,0.2868576,-0.0055953,0.9577748
590,11.1215982,3.5048177,-1.9870192,0.0272390,0.2939692,-0.0083813,0.9553899
600,11.6885805,3.5048177,-1.1572127,0.0272265,0.2954022,-0.0084222,0.9549478
610,11.9687433,3.5048177,-0.7477032,0.0272265,0.2954022,-0.0084222,0.9549478
630,12.3078413,3.5048177,-0.2520506,0.0272266,0.2954022,-0.0084222,0.9549478
650,12.3078413,3.5048177,-0.2520506,0.0086091,0.2926432,-0.0026349,0.9561794
660,12.5354404,3.5048177,0.0849476,0.0028719,0.2926539,-0.0008790,0.9562138
670,12.5880022,3.5048177,0.1627735,0.0014409,0.2854751,-0.0004292,0.9583849
680,12.5880022,3.5048177,0.1627735,0.0014422,0.2825987,-0.0004249,0.9592370
690,12.5880022,3.5048177,0.1627735,-0.0028546,0.3041072,0.0009113,0.9526331
700,12.7105532,3.5048177,0.3206768,-0.0099300,0.3240277,0.0034013,0.9459894
710,13.3230219,3.5048177,1.1098247,-0.0141868,0.3240092,0.0048594,0.9459351
720,13.9355202,3.5048177,1.9044234,-0.0284172,0.3196412,0.0095910,0.9470639
730,14.5347195,3.5048177,2.7028260,-0.0313054,0.3153464,0.0104091,0.9484030
740,15.1352997,3.5048177,3.5061002,-0.0313054,0.3153464,0.0104091,0.9484030
770,14.8946371,3.5048177,3.1842148,-0.0313210,0.3139234,0.0103622,0.9488750
780,14.2981482,3.5048177,2.3768773,-0.0270776,0.3111186,0.0088682,0.9499439
790,13.7099380,3.5048177,1.5706525,-0.0171186,0.3083426,0.0055497,0.9511052
800,13.1291933,3.5048177,0.7485152,-0.0028588,0.2998175,0.0008985,0.9539919
810,12.5584450,3.5048177,-0.0698327,-0.0028588,0.2998175,0.0008985,0.9539919
820,12.0018616,3.5048177,-0.9018685,0.0000032,0.2696242,-0.0000009,0.9629656
830,12.0018616,3.5048177,-0.9018685,-0.0208828,0.1032953,0.0021692,0.9944291
840,11.9015293,3.5048177,-1.4934424,-0.0224155,0.0838828,0.0018874,0.9962217
850,11.3326521,3.5048177,-2.4053607,-0.0059457,0.1301304,0.0007804,0.9914788
860,11.3326521,3.5048177,-2.4053607,0.0073820,0.1790273,-0.0013433,0.9838156
870,11.0410604,3.5048177,-2.8160310,0.0751342,0.3230221,-0.0257356,0.9430532
880,10.4679003,3.5048177,-3.6362813,0.0485163,0.1964704,-0.0097339,0.9792604
890,11.2750950,3.5048177,-4.5245171,0.0269932,0.0224924,-0.0006075,0.9993824
900,11.3837147,3.5048177,-4.5294089,0.0074749,-0.0868854,0.0006519,0.9961901
910,11.4183617,3.5048177,-4.7231092,0.0059798,-0.0883804,0.0005306,0.9960687
920,11.4897823,3.5048177,-5.1189251,0.0043837,-0.2289462,0.0010310,0.9734287
930,11.4897823,3.5048177,-5.1189251,0.0028665,-0.2983813,0.0008962,0.9544421
940,11.7184114,3.5048177,-5.4488473,0.0028666,-0.2983820,0.0008962,0.9544418
950,11.8324814,3.5048177,-5.6134562,0.0042901,-0.3041019,0.0013695,0.9526289
960,11.8324814,3.5048177,-5.6134562,0.0084953,-0.3311147,0.0029812,0.9435475
980,12.1454458,3.5048177,-6.0044560,0.0084953,-0.3311147,0.0029812,0.9435475
