frame,px,py,pz,qx,qy,qz,qw
0,0.0000000,0.0000000,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
50,0.0000000,0.8006124,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
60,0.0000000,1.8015821,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
70,0.0000000,2.8016782,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
80,0.0000000,3.8032854,-10.0000000,-0.0524296,-0.0419298,-0.0022033,0.9977415
90,0.0000000,4.8043141,-10.0000000,-0.0524296,-0.0419298,-0.0022033,0.9977415
100,0.0000000,5.8048358,-10.0000000,-0.0524296,-0.0419298,-0.0022033,0.9977415
110,0.0000000,7.0079722,-10.0000000,-0.0524296,-0.0419298,-0.0022033,0.9977415
120,0.0000000,8.0101614,-10.0000000,-0.0524296,-0.0419298,-0.0022033,0.9977415
130,0.0000000,9.0094252,-10.0000000,-0.0254944,-0.0149946,-0.0003824,0.9995625
140,0.0000000,10.0164366,-10.0000000,-0.0179986,-0.0074987,-0.0001350,0.9998099
150,0.0000000,10.8096762,-10.0000000,-0.0149994,-0.0044995,-0.0000675,0.9998774
160,-0.3013996,10.8096762,-10.0027132,-0.0149994,-0.0044995,-0.0000675,0.9998774
170,-1.2998857,10.8096762,-9.4031773,0.0209978,0.0074983,-0.0001575,0.9997514
180,-2.2840476,10.8096762,-8.3823624,0.0539562,0.0254601,-0.0013762,0.9982178
190,-3.1341517,10.8096762,-7.2510295,0.0655462,0.1105310,-0.0073057,0.9916820
200,-3.7234604,10.8096762,-5.9733500,0.0787345,0.2296556,-0.0186429,0.9699029
210,-4.2015138,10.8096762,-4.7098651,0.0800153,0.2383460,-0.0197083,0.9676778
220,-5.0829039,10.8096762,-4.2442298,0.0792541,0.2730205,-0.0225755,0.9584722
230,-5.5643940,10.8096762,-3.3144126,0.0939435,0.3837264,-0.0392765,0.9178159
240,-5.4651465,10.8096762,-1.8984078,0.1296652,0.4763176,-0.0712580,0.8667357
250,-5.0701313,10.8096762,-0.5473092,0.1304828,0.5106714,-0.0787484,0.8461606
260,-4.6474662,10.8096762,0.8087588,0.1284325,0.5320801,-0.0820498,0.8328648
270,-4.8495278,10.8096762,1.7754840,0.2129047,0.6932076,-0.2270326,0.6500701
280,-5.2274008,10.8096762,2.9695482,0.2011052,0.7829537,-0.3177271,0.4955701
290,-5.6316299,10.8096762,4.3262801,0.1732390,0.8189844,-0.3195414,0.4440114
300,-5.7024450,10.8096762,5.1039205,0.1647103,0.8285931,-0.3161509,0.4316857
310,-5.7024450,10.3086996,5.1039205,0.1560189,0.8387536,-0.3142757,0.4163907
320,-5.7024450,9.3074741,5.1039205,0.1425060,0.8574185,-0.3434609,0.3557531
330,-5.7024450,8.3058453,5.1039205,0.1425060,0.8574185,-0.3434609,0.3557531
340,-5.7024450,8.2046671,5.1039205,0.1128447,0.8829453,-0.2731294,0.3647931
350,-5.7024450,8.2046671,5.1039205,0.0194442,0.9384295,-0.0535510,0.3407410
360,-5.7024450,8.2046671,5.1039205,-0.0024528,0.9449431,0.0070846,0.3271489
380,-5.7024450,8.2046671,5.1039205,-0.0313007,0.9374142,0.0874292,0.3356057
390,-5.7024450,8.2046671,5.1039205,-0.0713662,0.9171348,0.1911675,0.3423824
400,-5.7024450,8.2046671,5.1039205,-0.0731990,0.9157511,0.1951831,0.3434318
410,-5.3293543,8.2046671,5.4295578,-0.0731990,0.9157511,0.1951831,0.3434318
420,-4.5295348,8.2046671,6.0244999,-0.0601987,0.9393145,0.2539030,0.2227053
430,-3.6161172,8.2046671,6.4295659,-0.0647172,0.9215027,0.3405562,0.1751167
440,-3.3364639,8.2046671,6.5385394,-0.0711491,0.9030382,0.3903417,0.1646002
460,-3.3364639,8.2046671,6.5385394,-0.0999728,0.8365549,0.5134710,0.1628772
470,-3.3364639,8.2046671,6.5385394,-0.1004610,0.8350105,0.5159786,0.1625765
490,-3.3364639,8.2046671,6.5385394,-0.0992617,0.8408954,0.5057734,0.1650318
500,-3.3364639,8.2046671,6.5385394,-0.0726834,0.9087102,0.3703477,0.1783409
510,-2.9443595,8.2046671,6.6234522,-0.0077719,0.9841482,0.1714707,0.0446064
520,-1.9512216,8.2046671,6.5300260,-0.0132055,-0.9853209,-0.1443857,0.0901172
530,-0.9671645,8.2046671,6.3458014,-0.0135594,-0.9849669,-0.1458433,0.0915749
540,0.0279940,8.2046671,6.1591430,-0.0135594,-0.9849669,-0.1458433,0.0915749
550,1.0068308,8.2046671,5.9755464,-0.0135594,-0.9849669,-0.1458433,0.0915749
570,1.0068308,9.2049742,5.9755464,-0.0116335,-0.9878123,-0.1251284,0.0918395
580,1.0068308,10.2058125,5.9755464,-0.0006047,-0.9967170,-0.0074768,0.0806161
590,1.0068308,11.2092009,5.9755464,0.0088175,-0.9910656,0.1014395,0.0861470
