frame,px,py,pz,qx,qy,qz,qw
0,0.0000000,0.0000000,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
60,0.0000000,0.5982846,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
70,0.0000000,1.6094339,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
90,0.0000000,1.6094339,-9.2975941,0.0000000,0.0000000,0.0000000,1.0000000
100,0.0000000,1.6094339,-8.2950830,0.0000000,0.0000000,0.0000000,1.0000000
110,0.0000000,1.6094339,-7.1987171,0.0000000,0.0000000,0.0000000,1.0000000
120,0.0000000,1.6094339,-6.2012525,0.0000000,0.0000000,0.0000000,1.0000000
130,0.0000000,1.6094339,-5.8931255,0.0000000,0.0000000,0.0000000,1.0000000
150,-0.9011844,1.6094339,-5.1975408,0.0000000,0.0000000,0.0000000,1.0000000
160,-1.9001640,1.6094339,-4.1985612,0.0000000,0.0000000,0.0000000,1.0000000
170,-2.6568370,1.6094339,-3.0269666,0.0346738,0.2680030,-0.0096523,0.9627455
180,-2.8595886,1.6094339,-1.7727218,0.0345469,0.5678495,-0.0238637,0.8220609
190,-3.0010214,1.6094339,-1.2992957,0.0232168,0.7846360,-0.0294377,0.6188220
200,-3.0010214,1.6094339,-1.2992957,0.0159560,0.8957838,-0.0322623,0.4430304
210,-3.0010214,1.6094339,-1.2992957,0.0133194,0.9475157,-0.0398192,0.3169399
220,-2.6428945,1.6094339,-1.7747231,0.0156960,0.9471905,-0.0469244,0.3168311
230,-1.9893577,1.6094339,-2.5285714,0.0336271,0.9211771,-0.0817379,0.3789735
240,-1.1998765,1.6094339,-3.1589680,0.0446281,0.8731706,-0.0814401,0.4784861
250,-0.3078911,1.6094339,-3.5950303,0.0472620,0.8164053,-0.0675070,0.5715694
260,0.6601369,1.6094339,-3.8712564,0.0378350,0.7610869,-0.0445748,0.6460096
270,1.6443746,1.6094339,-4.0278392,0.0380352,0.7581722,-0.0444040,0.6494280
280,2.6385458,1.6094339,-4.1494884,0.0350260,0.7436174,-0.0390761,0.6665429
290,3.6275063,1.6094339,-4.2579188,0.0350260,0.7436174,-0.0390761,0.6665429
300,4.6278095,1.6094339,-4.3675933,0.0350260,0.7436174,-0.0390761,0.6665429
310,5.6155019,1.6094339,-4.4588237,0.0369166,0.7097263,-0.0372952,0.7025204
320,6.6257224,1.6094339,-4.4390917,0.0378555,0.6915832,-0.0363419,0.7203881
330,7.6228566,1.6094339,-4.3887000,0.0378764,0.6426648,-0.0318382,0.7645480
340,8.5508585,1.6094339,-4.0265856,0.0250965,0.4735195,-0.0134992,0.8803223
350,9.3212481,1.6094339,-3.3950129,0.0235977,0.3786781,-0.0096586,0.9251771
360,10.0215073,1.6094339,-2.6828933,0.0235977,0.3786779,-0.0096586,0.9251773
370,10.1702356,1.6094339,-1.2871642,0.0348663,0.5567006,-0.0233955,0.8296514
380,10.8189640,1.6094339,-0.0396453,0.0413166,0.6425148,-0.0347299,0.7643700
390,11.7527199,1.6094339,0.4212224,0.0459186,0.6179656,-0.0361927,0.7840281
400,12.3176527,1.6094339,1.1160369,0.0277786,0.2230160,-0.0063578,0.9743982
410,11.3631687,1.6094339,1.4228375,0.0149175,0.1047956,-0.0015721,0.9943807
420,10.7039928,1.6094339,1.6411231,0.0112143,0.7334294,-0.0121032,0.6795654
430,11.2708902,1.6094339,1.4449166,-0.0397039,0.8239629,0.0581852,0.5622483
440,12.1815815,1.6094339,1.0395765,-0.1073171,0.8326383,0.1735567,0.5148541
450,13.1120100,1.6094339,0.7156860,-0.2266471,0.6710434,0.2276018,0.6682286
460,14.0961533,1.6094339,0.8722342,-0.2677670,0.5632874,0.1995726,0.7557639
470,14.3865471,1.6094339,0.9648780,-0.2713253,0.5452777,0.1922718,0.7694715
480,14.4840002,1.6094339,0.9904686,-0.2839391,0.5751570,0.2224213,0.7342355
490,15.4660063,1.6094339,1.1551498,-0.3180443,0.6106967,0.2927447,0.6634742
500,15.4660063,1.6094339,1.1551498,-0.3257509,0.6126603,0.3062185,0.6517392
510,14.4653511,1.6094339,1.1044080,-0.2871895,0.6464717,0.2875358,0.6456932
520,14.4653511,1.8109919,1.1044080,-0.2444746,0.6928958,0.2727441,0.6210783
530,14.4653511,2.2085268,1.1044080,-0.2308522,0.7150952,0.2753066,0.5996270
540,14.4653511,2.2085268,1.1044080,-0.2284185,0.7218211,0.2791404,0.5906608
550,14.4653511,2.2085268,1.1044080,-0.2046657,0.7417672,0.2603086,0.5832090
560,13.6798124,2.2085268,1.2440141,-0.0873305,0.6244320,0.0705487,0.7729689
570,13.6798124,2.2085268,1.2440141,0.1286950,0.2528776,-0.0339603,0.9582992
