frame,px,py,pz,qx,qy,qz,qw
0,0.0000000,0.0000000,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
90,0.0000000,0.2006838,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
100,0.0000000,1.2100050,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
110,0.0000000,2.3226566,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
120,0.0000000,3.3235171,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
130,0.0000000,4.3326955,-10.0000000,0.1133231,-0.0863263,0.0098841,0.9897515
140,0.0000000,5.3390136,-10.0000000,0.1352164,-0.1112187,0.0152764,0.9844357
150,0.0000000,5.3390136,-10.0000000,0.2986265,0.1255028,-0.0396492,0.9452509
160,0.0000000,5.2303333,-10.0000000,0.3179482,0.1344927,-0.0456168,0.9374112
170,0.0000000,4.2383938,-10.0000000,0.3167626,0.1569496,-0.0532338,0.9339135
180,0.0000000,3.2336974,-10.0000000,0.2094706,0.2589491,-0.0576346,0.9411407
190,0.0000000,2.2230475,-10.0000000,0.1297347,0.3293826,-0.0457460,0.9341217
200,0.0000000,2.1169500,-10.0000000,0.0760890,0.4199243,-0.0353575,0.9036725
210,0.0000000,2.1169500,-10.0000000,0.0373335,0.5123635,-0.0223027,0.8576668
220,0.0000000,2.1169500,-10.0000000,0.0331084,0.5278157,-0.0205962,0.8484634
240,0.0000000,2.1169500,-10.0000000,0.0493909,0.5940629,-0.0365821,0.8020670
250,0.0000000,2.1169500,-10.0000000,0.0499093,0.6523042,-0.0431159,0.7550823
260,0.0000000,2.1169500,-10.0000000,0.0409794,0.6935696,-0.0395777,0.7181334
270,0.0000000,2.1169500,-10.0000000,0.0295571,0.7328351,-0.0318999,0.6790152
280,0.0000000,2.1169500,-10.0000000,0.0154205,0.7660392,-0.0183900,0.6423457
290,0.0000000,2.1169500,-10.0000000,0.0103540,0.7785369,-0.0128486,0.6273820
300,0.0000000,2.1169500,-10.0000000,-0.0009382,0.7795823,0.0011678,0.6262980
320,0.0000000,2.1169500,-10.0000000,-0.0027960,0.7833190,0.0035234,0.6216038
330,0.0000000,2.1169500,-10.0000000,-0.0212557,0.8064450,0.0290429,0.5902129
340,0.0000000,2.1169500,-10.0000000,-0.0236657,0.8107092,0.0328501,0.5840474
350,0.0000000,2.1169500,-10.0000000,-0.0260193,0.8149099,0.0366942,0.5778396
360,0.0000000,2.1169500,-10.0000000,-0.0352842,0.8351077,0.0539378,0.5462974
370,0.0000000,2.1169500,-10.0000000,-0.0363282,0.8406311,0.0568274,0.5373923
