frame,px,py,pz,qx,qy,qz,qw
0,0.0000000,0.0000000,-10.0000000,0.0000000,0.0000000,0.0000000,1.0000000
100,-0.0035282,0.0000000,-9.2003775,0.0524036,-0.0524036,0.0027537,0.9972463
110,-0.5013562,0.0000000,-8.1393404,0.0325487,-0.4265672,0.0153631,0.9037395
120,-1.2774622,0.0000000,-7.5073500,0.0311488,-0.4292993,0.0148168,0.9025034
130,-2.0506177,0.0000000,-6.8732066,0.0359049,-0.3895822,0.0152015,0.9201661
140,-2.6990659,0.0000000,-6.1136627,0.0417869,-0.2765740,0.0120386,0.9600082
150,-3.1428053,0.0000000,-5.2190928,0.0512228,-0.2169542,0.0114006,0.9747703
160,-3.5690844,0.0000000,-4.3089008,0.0512229,-0.2169545,0.0114007,0.9747702
170,-3.9924490,0.0000000,-3.4049320,0.0512229,-0.2169545,0.0114007,0.9747702
180,-4.4231458,0.0000000,-2.4948564,0.0525219,-0.2300753,0.0124362,0.9716749
190,-4.8239465,0.0000000,-1.6959598,0.0525219,-0.2300752,0.0124362,0.9716749
200,-4.8239465,0.0000000,-1.6959598,0.0970697,0.3405955,-0.0353782,0.9345163
210,-4.8239465,0.0000000,-1.6959598,0.0972547,0.4013605,-0.0429074,0.9097309
220,-4.5181699,0.0000000,-1.4364169,0.0937592,0.4178018,-0.0433978,0.9026448
230,-3.6696506,0.0000000,-0.9171705,0.0465805,0.5747979,-0.0327993,0.8163100
240,-2.7251821,0.0000000,-0.5901458,0.0462835,0.5821213,-0.0332172,0.8111038
250,-1.7484545,0.0000000,-0.3743614,0.0455943,0.6693195,-0.0412155,0.7404281
260,-0.7533138,0.0000000,-0.2791394,0.0465781,0.6714751,-0.0423595,0.7383478
270,0.2397239,0.0000000,-0.1847207,0.0465781,0.6714751,-0.0423595,0.7383478
280,1.2406138,0.0000000,-0.0923328,0.0448452,0.6825383,-0.0420296,0.7282609
290,2.2427592,0.0000000,-0.0454612,0.0421775,0.6913527,-0.0404910,0.7201480
300,3.2370417,0.0000000,-0.0116871,0.0396696,0.6979256,-0.0387754,0.7140187
310,4.2349358,0.0000000,0.0110635,0.0396696,0.6979256,-0.0387754,0.7140187
320,5.2374396,0.0000000,0.0339191,0.0396696,0.6979256,-0.0387754,0.7140187
330,6.2341609,0.0000000,0.0548477,0.0416271,0.7010116,-0.0410568,0.7107491
340,7.2401309,0.0000000,0.0542200,0.0485031,0.7090147,-0.0490007,0.7018153
350,8.2373257,0.0000000,0.0440426,0.0485031,0.7090147,-0.0490007,0.7018152
360,9.2390280,0.0000000,0.0338192,0.0485031,0.7090147,-0.0490007,0.7018152
370,10.2370768,0.0000000,0.0236331,0.0485031,0.7090147,-0.0490007,0.7018152
380,11.2417421,0.0000000,0.0133795,0.0485031,0.7090147,-0.0490007,0.7018152
390,11.7371254,0.0000000,0.0083236,0.0485031,0.7090147,-0.0490007,0.7018152
400,11.7371254,0.0000000,0.0083236,0.0485766,0.7079611,-0.0489279,0.7028780
410,11.7371254,0.0000000,0.0083236,0.1064172,0.2261293,-0.0248609,0.9679478
420,11.7371254,0.0000000,0.0083236,0.0684384,-0.1209116,0.0083563,0.9902660
430,11.7371254,0.0000000,0.0083236,0.0419476,-0.4304422,0.0200306,0.9014204
450,11.7371254,0.0000000,0.0083236,0.0390602,-0.5415682,0.0252019,0.8393707
460,11.7371254,0.0000000,0.0083236,0.0344747,-0.6089781,0.0265082,0.7919940
470,11.7371254,0.0000000,0.0083236,0.0293527,-0.6577547,0.0256665,0.7522224
480,11.7371254,0.0000000,0.0083236,0.0169088,-0.7094438,0.0170310,0.7043533
490,11.7371254,0.0000000,0.0083236,0.0147060,-0.7137055,0.0149911,0.7001311
530,11.7371254,0.0000000,0.0083236,0.0084684,-0.7085397,0.0085040,0.7055690
540,11.7371254,0.0000000,0.0083236,0.0042476,-0.7064583,0.0042399,0.7077293
560,11.2358389,0.0000000,0.0092247,0.0042476,-0.7064583,0.0042399,0.7077293
570,10.2362185,0.0000000,0.0110216,0.0042476,-0.7064583,0.0042399,0.7077293
580,9.2319183,0.0000000,0.0128270,0.0042476,-0.7064583,0.0042399,0.7077293
590,8.2284069,0.0000000,0.0146309,0.0042476,-0.7064583,0.0042399,0.7077293
